,,Augmented DaNe,,
Gender Effect Size,,-0.0,,
Name Augmentation,Female,,Male,
Macro F1 (SD),86.71 (0.34),,86.56 (0.41),
Name Augmentation ,Majority Female,Minority Female,Majority Male,Minority Male
Macro F1 (SD) ,86.71 (0.34),86.09 (0.43),86.56 (0.41),86.21 (0.54)
