,,DaWinoBias,,
Gender Effect Size,,0.1,,
Condition,Anti-stereotypical,,Pro-stereotypical,
Accuracy,0.41,,0.44,
Pronouns,Female,Male,Female,Male
F1,0.26,0.55,0.29,0.59
