,,DaWinoBias,,
Gender Effect Size,,0.18,,
Condition,Anti-stereotypical,,Pro-stereotypical,
Accuracy,0.44,,0.5,
Pronouns,Female,Male,Female,Male
F1,0.05,0.61,0.13,0.67
