SELECT DISTINCT p.proname AS function_name, t.typname AS return_type
FROM pg_catalog.pg_extension AS e
    INNER JOIN pg_catalog.pg_depend AS d ON (d.refobjid = e.oid)
    INNER JOIN pg_catalog.pg_proc AS p ON (p.oid = d.objid)
    INNER JOIN pg_type AS t ON (t.oid = p.prorettype)
WHERE e.extname = 'postgis' AND d.deptype = 'e' AND (t.typname = 'geometry' OR t.typname = 'geography')
ORDER BY 1, 2;
+----------------------------------+---------------+
| function_name                    | return_type   |
| st_orientedenvelope              | geometry      |
| st_patchn                        | geometry      |
| st_point                         | geometry      |
| st_pointfromgeohash              | geometry      |
| st_pointfromtext                 | geometry      |
| st_pointfromwkb                  | geometry      |
| st_pointn                        | geometry      |
| st_pointonsurface                | geometry      |
| st_points                        | geometry      |
| st_polyfromtext                  | geometry      |
| st_polyfromwkb                   | geometry      |
| st_polygon                       | geometry      |
| st_polygonfromtext               | geometry      |
| st_polygonfromwkb                | geometry      |
| st_polygonize                    | geometry      |
| st_project                       | geography     |
| st_quantizecoordinates           | geometry      |
| st_removepoint                   | geometry      |
| st_removerepeatedpoints          | geometry      |
| st_reverse                       | geometry      |
| st_rotate                        | geometry      |
| st_rotatex                       | geometry      |
| st_rotatey                       | geometry      |
| st_rotatez                       | geometry      |
| st_scale                         | geometry      |
| st_segmentize                    | geography     |
| st_segmentize                    | geometry      |
| st_seteffectivearea              | geometry      |
| st_setpoint                      | geometry      |
| st_setsrid                       | geography     |
| st_setsrid                       | geometry      |
| st_sharedpaths                   | geometry      |
| st_shiftlongitude                | geometry      |
| st_shortestline                  | geometry      |
| st_simplify                      | geometry      |
| st_simplifypreservetopology      | geometry      |
| st_simplifyvw                    | geometry      |
| st_snap                          | geometry      |
| st_snaptogrid                    | geometry      |
| st_split                         | geometry      |
| st_startpoint                    | geometry      |
| st_subdivide                     | geometry      |
| st_swapordinates                 | geometry      |
| st_symdifference                 | geometry      |
| st_symmetricdifference           | geometry      |
| st_tileenvelope                  | geometry      |
| st_transform                     | geometry      |
| st_translate                     | geometry      |
| st_transscale                    | geometry      |
| st_unaryunion                    | geometry      |
| st_union                         | geometry      |
| st_voronoilines                  | geometry      |
| st_voronoipolygons               | geometry      |
| st_wkbtosql                      | geometry      |
| st_wkttosql                      | geometry      |
| st_wrapx                         | geometry      |
+----------------------------------+---------------+
SELECT 187
