SELECT DISTINCT p.proname AS function_name, t.typname AS return_type
FROM pg_catalog.pg_extension AS e
    INNER JOIN pg_catalog.pg_depend AS d ON (d.refobjid = e.oid)
    INNER JOIN pg_catalog.pg_proc AS p ON (p.oid = d.objid)
    INNER JOIN pg_type AS t ON (t.oid = p.prorettype)
WHERE e.extname = 'postgis' AND d.deptype = 'e' AND (t.typname = 'geometry' OR t.typname = 'geography')
ORDER BY 1, 2;
+----------------------------------+---------------+
| function_name                    | return_type   |
|----------------------------------+---------------|
| _st_concavehull                  | geometry      |
| _st_expand                       | geography     |
| _st_geomfromgml                  | geometry      |
| _st_longestline                  | geometry      |
| _st_pointoutside                 | geography     |
| _st_voronoi                      | geometry      |
| geography                        | geography     |
| geography_in                     | geography     |
| geography_recv                   | geography     |
| geometry                         | geometry      |
| geometry_in                      | geometry      |
| geometry_recv                    | geometry      |
| geomfromewkb                     | geometry      |
| geomfromewkt                     | geometry      |
| pgis_geometry_collect_finalfn    | geometry      |
| pgis_geometry_makeline_finalfn   | geometry      |
| pgis_geometry_polygonize_finalfn | geometry      |
| pgis_geometry_union_finalfn      | geometry      |
| postgis_addbbox                  | geometry      |
| postgis_dropbbox                 | geometry      |
| postgis_geos_noop                | geometry      |
| postgis_noop                     | geometry      |
| postgis_transform_geometry       | geometry      |
| st_3dclosestpoint                | geometry      |
| st_3dlineinterpolatepoint        | geometry      |
| st_3dlongestline                 | geometry      |
| st_3dshortestline                | geometry      |
| st_addmeasure                    | geometry      |
| st_addpoint                      | geometry      |
| st_affine                        | geometry      |
| st_asmvtgeom                     | geometry      |
| st_bdmpolyfromtext               | geometry      |
| st_bdpolyfromtext                | geometry      |
| st_boundary                      | geometry      |
| st_boundingdiagonal              | geometry      |
| st_buffer                        | geography     |
| st_buffer                        | geometry      |
| st_buildarea                     | geometry      |
| st_centroid                      | geography     |
| st_centroid                      | geometry      |
| st_chaikinsmoothing              | geometry      |
| st_cleangeometry                 | geometry      |
| st_clipbybox2d                   | geometry      |
| st_closestpoint                  | geometry      |
| st_collect                       | geometry      |
| st_collectionextract             | geometry      |
| st_collectionhomogenize          | geometry      |
| st_concavehull                   | geometry      |
| st_convexhull                    | geometry      |
| st_curvetoline                   | geometry      |
| st_delaunaytriangles             | geometry      |
| st_difference                    | geometry      |
| st_endpoint                      | geometry      |
| st_envelope                      | geometry      |
| st_expand                        | geometry      |
| st_exteriorring                  | geometry      |
| st_filterbym                     | geometry      |
| st_flipcoordinates               | geometry      |
| st_force2d                       | geometry      |
| st_force3d                       | geometry      |
| st_force3dm                      | geometry      |
| st_force3dz                      | geometry      |
| st_force4d                       | geometry      |
| st_forcecollection               | geometry      |
| st_forcecurve                    | geometry      |
| st_forcepolygonccw               | geometry      |
| st_forcepolygoncw                | geometry      |
| st_forcerhr                      | geometry      |
| st_forcesfs                      | geometry      |
| st_generatepoints                | geometry      |
| st_geogfromtext                  | geography     |
| st_geogfromwkb                   | geography     |
| st_geographyfromtext             | geography     |
| st_geomcollfromtext              | geometry      |
| st_geomcollfromwkb               | geometry      |
| st_geometricmedian               | geometry      |
| st_geometryfromtext              | geometry      |
| st_geometryn                     | geometry      |
| st_geomfromewkb                  | geometry      |
| st_geomfromewkt                  | geometry      |
| st_geomfromgeohash               | geometry      |
| st_geomfromgeojson               | geometry      |
| st_geomfromgml                   | geometry      |
| st_geomfromkml                   | geometry      |
| st_geomfromtext                  | geometry      |
| st_geomfromtwkb                  | geometry      |
| st_geomfromwkb                   | geometry      |
| st_gmltosql                      | geometry      |
| st_interiorringn                 | geometry      |
| st_intersection                  | geography     |
| st_intersection                  | geometry      |
| st_linefromencodedpolyline       | geometry      |
| st_linefrommultipoint            | geometry      |
| st_linefromtext                  | geometry      |
| st_linefromwkb                   | geometry      |
| st_lineinterpolatepoint          | geometry      |
| st_lineinterpolatepoints         | geometry      |
| st_linemerge                     | geometry      |
| st_linestringfromwkb             | geometry      |
| st_linesubstring                 | geometry      |
| st_linetocurve                   | geometry      |
| st_locatealong                   | geometry      |
| st_locatebetween                 | geometry      |
| st_locatebetweenelevations       | geometry      |
| st_longestline                   | geometry      |
| st_makeenvelope                  | geometry      |
| st_makeline                      | geometry      |
| st_makepoint                     | geometry      |
| st_makepointm                    | geometry      |
| st_makepolygon                   | geometry      |
| st_makevalid                     | geometry      |
| st_memcollect                    | geometry      |
| st_memunion                      | geometry      |
| st_minimumboundingcircle         | geometry      |
| st_minimumclearanceline          | geometry      |
| st_mlinefromtext                 | geometry      |
| st_mlinefromwkb                  | geometry      |
| st_mpointfromtext                | geometry      |
| st_mpointfromwkb                 | geometry      |
| st_mpolyfromtext                 | geometry      |
| st_mpolyfromwkb                  | geometry      |
| st_multi                         | geometry      |
| st_multilinefromwkb              | geometry      |
| st_multilinestringfromtext       | geometry      |
| st_multipointfromtext            | geometry      |
| st_multipointfromwkb             | geometry      |
| st_multipolyfromwkb              | geometry      |
| st_multipolygonfromtext          | geometry      |
| st_node                          | geometry      |
| st_normalize                     | geometry      |
| st_offsetcurve                   | geometry      |
