,,,ABC,,,
Gender Effect Size,,,0.03,,,
Pronoun,,Female,,Male,,Reflexive
Mean Rate of Detected Clusters,,0.8811403508771929,,0.9021929824561403,,0.9668859649122807
Stereotypical Occupation,Female,Male,Female,Male,Female,Male
Rate of Detected Clusters,0.9311403508771929,0.831140350877193,0.8842105263157894,0.9201754385964912,0.9675438596491228,0.9662280701754385
